,,,,
,The C11 semantic errors follow the template: Error_Type-Error_Code.,,,
,"The Error_Type can be one of: UB (Undefined Behavior), USP (Unspecified Behavior), CV (Constraint Violation), or IMPL (Implementation Defined Behavior)",,,
,The Error_Code is a unique code used to identify a particular error.,,,
,,,,
Error,Description ,References,Type,Requires RV-Match
UB-CB1,Types of function call arguments aren't compatible with declared types after promotions.,"6.5.2.2:6, J.2:1 item 39",Undefined Behavior,
UB-CB2,Function call has fewer arguments than parameters in function definition.,"6.5.2.2:6, J.2:1 item 38",Undefined Behavior,
UB-CB3,Function call has more arguments than parameters in function definition.,"6.5.2.2:6, J.2:1 item 38",Undefined Behavior,
UB-CB4,Function defined with no parameters called with arguments.,"6.5.2.2:6, J.2:1 item 38",Undefined Behavior,
UB-CCV1,Signed integer overflow.,"6.5:5, J.2:1 item 36",Undefined Behavior,
UB-CCV3,Conversion to integer from float outside the range that can be represented.,"6.3.1.4:1, J.2:1 item 17",Undefined Behavior,
UB-CCV4,Floating-point value outside the range of values that can be represented after conversion.,"6.3.1.5:1, J.2:1 item 18",Undefined Behavior,
UB-CCV5,Casting empty value to type other than void.,"6.3.2.2:1, J.2:1 item 23",Undefined Behavior,
UB-CCV6,Casting void type to non-void type.,"6.3.2.2:1, J.2:1 item 23",Undefined Behavior,
UB-CCV7,Conversion from pointer to integer of a value possibly unrepresentable in the integer type.,"6.3.2.3:6, J.2:1 item 24",Undefined Behavior,
UB-CCV11,Conversion to a pointer type with a stricter alignment requirement (possibly undefined).,"6.3.2.3:7, J.2:1 item 25",Undefined Behavior,
UB-CCV12,Floating-point overflow.,"6.5:5, J.2:1 item 36",Undefined Behavior,
UB-CEA1,A pointer (or array subscript) outside the bounds of an object.,"6.5.6:8, J.2:1 item 46",Undefined Behavior,
UB-CEA5,Computing pointer difference between two different objects.,"6.5.6:9, J.2:1 item 48",Undefined Behavior,
UB-CEA2,Pointer difference outside the range that can be represented by object of type ptrdiff_t.,"6.5.6:9, J.2:1 item 50",Undefined Behavior,
UB-CEB2,The right operand in a bitwise shift is negative.,"6.5.7:3, J.2:1 item 51",Undefined Behavior,
UB-CEB3,The right operand in a bitwise shift is greater than or equal to the bit width of the left operand.,"6.5.7:3, J.2:1 item 51",Undefined Behavior,
UB-CEB4,The left operand in a bitwise left-shift is negative.,"6.5.7:4, J.2:1 item 52",Undefined Behavior,
UB-CEB6,The right operand in a bitwise shift is negative.,"6.5.7:3, J.2:1 item 51",Undefined Behavior,
UB-CEB7,The right operand in a bitwise shift is greater than or equal to the bit width of the left operand.,"6.5.7:3, J.2:1 item 51",Undefined Behavior,
UB-CEE2,Indeterminate value used in an expression.,"6.2.4, 6.7.9, 6.8, J.2:1 item 11",Undefined Behavior,
UB-CEE1,Address of an array declared with register storage class used in an expression.,"6.3.2.1:3, J.2:1 item 22",Undefined Behavior,
UB-CEE3,Found pointer that refers outside the bounds of an object + 1.,"6.3.2.1:1, J.2:1 item 19",Undefined Behavior,
UB-CEE4,Referring to an object outside of its lifetime.,"6.2.4:2, J.2:1 item 9",Undefined Behavior,
UB-CEE5,Trying to convert an incomplete lvalue not of array type.,"6.3.2.1:2, J.2:1 item 20",Undefined Behavior,
UB-CEM1,Attempting to access a member in an atomic struct.,"6.5.2.3:5, J.2:1 item 42",Undefined Behavior,
UB-CEM2,Attempting to access a member in an atomic union.,"6.5.2.3:5, J.2:1 item 42",Undefined Behavior,
UB-CEMX1,Division by 0.,"6.5.5:5, J.2:1 item 45",Undefined Behavior,
UB-CEMX2,Modulus by 0.,"6.5.5:5, J.2:1 item 45",Undefined Behavior,
UB-CEMX3,Signed integer overflow.,"6.5:5, J.2:1 item 36",Undefined Behavior,
UB-CER3,Dereferencing a null pointer.,"6.5.3.2:4, J.2:1 item 43",Undefined Behavior,
UB-CER4,Dereferencing a pointer past the end of an array.,"6.5.6:8, J.2:1 items 47, 49",Undefined Behavior,
UB-CERL1,Cannot compare pointers with different base objects using '<'.,"6.5.8:5, J.2:1 item 53",Undefined Behavior,
UB-CERL2,Cannot compare pointers with different base objects using '<='.,"6.5.8:5, J.2:1 item 53",Undefined Behavior,
UB-CERL3,Cannot compare pointers with different base objects using '>'.,"6.5.8:5, J.2:1 item 53",Undefined Behavior,
UB-CERL4,Cannot compare pointers with different base objects using '>='.,"6.5.8:5, J.2:1 item 53",Undefined Behavior,
UB-CERL6,Ordered comparison of a null pointer.,"6.5.8:5, J.2:1 item 53",Undefined Behavior,
UB-CMW1,Trying to modify a string literal.,"6.4.5:7, J.2:1 item 33",Undefined Behavior,
UB-CTM1,Variable-length array with length that evaluates to non-positive value at execution.,"6.7.6.2:5, J.2:1 item 75",Undefined Behavior,
UB-ECL3,An object which has been modified is accessed through an expression based on a restrict-qualified pointer and another lvalue not also based on said pointer.,"6.7.3.1:4, J.2:1 item 68",Undefined Behavior,
UB-ECL4,An object which has been modified is accessed through an expression based on a restrict-qualified pointer to a const-qualified type.,"6.7.3.1:4, J.2:1 item 68",Undefined Behavior,
UB-CEER1,Trying to read through a null pointer.,"6.3.2.1:1, J.2:1 item 19",Undefined Behavior,
UB-CEER4,Have a read-write datarace.,"5.1.2.4:25, J.2:1 item 5",Undefined Behavior,
UB-CEER5,Have a write-write datarace.,"5.1.2.4:25, J.2:1 item 5",Undefined Behavior,
UB-CID2,No definition found for identifier .,"6.3.2.1:1, J.2:1 item 19",Undefined Behavior,
UB-EEA1,Assignment from non-exactly-overlapping overlapping read.,"6.5.16.1:3, J.2:1 item 54",Undefined Behavior,
UB-EEA2,Attempt to alias restrict qualified pointers associated with the same block.,"6.7.3.1:4, J.2:1 item 69",Undefined Behavior,
UB-EEA3,Attempt to alias restrict qualified pointers associated with incompatible blocks.,"6.7.3.1:4, J.2:1 item 69",Undefined Behavior,
UB-EEA4,Passing a pointer not to an array object as a function parameter with a static-qualified array size.,"6.7.6.3:7, J.2:1 item 77",Undefined Behavior,
UB-EEA5,Passing a pointer to an array object of fewer elements than required by a function parameter with a static-qualified array size.,"6.7.6.3:7, J.2:1 item 77",Undefined Behavior,
UB-EEC1,Incompatible variably modified types in a conditional expression.,6.7.6.2:6,Undefined Behavior,
UB-EFNC1,Attempt to call the function through a pointer with incompatible type.,"6.5.2.2:9, J.2:1 items 26, 41",Undefined Behavior,
UB-EFNC2,Invoking a null pointer.,6.5.2.2,Undefined Behavior,
UB-EIO8,Unsequenced side effect on scalar object with side effect of same object.,"6.5:2, J.2:1 item 35",Undefined Behavior,
UB-EIO2,Trying to write outside the bounds of an object.,"6.5.6:8, J.2:1 items 47, 49",Undefined Behavior,
UB-EIO3,Trying to modify an object declared with const type.,"6.7.3:6, J.2:1 item 64",Undefined Behavior,
UB-EIO4,Trying to modify an object declared with volatile type through a non-volatile lvalue.,"6.7.3:6, J.2:1 item 65",Undefined Behavior,
UB-EIO7,Reading outside the bounds of an object.,"6.3.2.1:1, J.2:1 item 19",Undefined Behavior,
UB-EIO9,Trying to access an object declared with volatile type through a non-volatile lvalue.,"6.7.3:6, J.2:1 item 65",Undefined Behavior,
UB-EIO10,Type of lvalue (<type>) not compatible with the effective type of the object being accessed (<type>).,"6.5:7, J.2:1 item 37",Undefined Behavior,
UB-EIO11,Trying to modify an unmodifiable object returned by a library function.,"7.22.4.6:4, 7.11.1.1:8, 7.11.2.1:8, 7.24.6.2:4, J.2:1 item 120, J.2:1 item 121, J.2:1 item 184",Undefined Behavior,
UB-ESR1,Return from a function declared _Noreturn.,"6.7.4, J.2:1 item 71",Undefined Behavior,
UB-TDG6,Void parameter appears with a storage class specifier.,"6.7.6.3:10, J.2:1 item 78",Undefined Behavior,
UB-TDG7,Void parameter appears with qualifiers.,"6.7.6.3:10, J.2:1 item 78",Undefined Behavior,
UB-TDG11,Static declaration of Identifier follows non-static declaration.,"6.2.2:7, J.2:1 item 8",Undefined Behavior,
UB-TDG12,Declaration for an object is a tentative definition with internal linkage and has an incomplete type.,"6.9.2:3, J.2:1 item 89",Undefined Behavior,
UB-CDI1,Initializer for scalar contains multiple expressions,"6.7.9:11, J.2:1 item 81",Undefined Behavior,
UB-CDI2,Initializer for scalar contains multiple levels of braces.,"6.7.9:11, J.2:1 item 81",Undefined Behavior,
UB-CDI3,Invalid initializer for aggregate type.,"6.7.9:16, J.2:1 item 83",Undefined Behavior,
UB-TDL5,Declaration of an identifier for an object with no linkage and incomplete type.,"6.7:7, J.2:1 item 59",Undefined Behavior,
UB-CDT1,Structs must contain a named member.,"6.7.2.1:8, J.2:1 item 61",Undefined Behavior,
UB-CDT2,Unions must contain a named member.,"6.7.2.1, J.2:1 item 61",Undefined Behavior,
UB-TDG1,Declaration for the function appears with type qualifiers.,"6.7.3:9, J.2:1 item 66",Undefined Behavior,
UB-TDG3,Declaration for identifier appears with invalid storage class specifiers.,"6.7.1:7, J.2:1 item 60",Undefined Behavior,
UB-TEAS4,Void value as right operand in assignment,"6.3.2.2:1, J.2:1 item 23",Undefined Behavior,
UB-TEOFF1,Offsetof member designator specifies a bit-field.,"7.19:3, J.2:1 item 144",Undefined Behavior,
UB-TDR1,Declaration for inline function not defined in the same translation unit.,"6.7.4:7, J.2:1 item 70",Undefined Behavior,
UB-TDR2,No definition for symbol with external linkage.,"6.9:5, J.2:1 item 84",Undefined Behavior,
UB-TDR3,Main is not a function.,"5.1.2.2.1:1, J.2:1 item 4",Undefined Behavior,
UB-TIN1,Identifier declared with incompatible types in different translation units.,"6.2.7:2, J.2:1 item 15",Undefined Behavior,
UB-TIN2,Multiple external definitions for Identifier.,"6.9:5, J.2:1 item 84",Undefined Behavior,
UB-FD4,Definition of main requires a prototype.,"5.1.2.2.1:1, J.2:1 item 4",Undefined Behavior,
UB-FD5,Function main must return an int.,"5.1.2.2.1:1, J.2:1 item 4",Undefined Behavior,
UB-FD6,"If main has parameters, the type of the first parameter must be equivalent to int.","5.1.2.2.1:1, J.2:1 item 4",Undefined Behavior,
UB-FD7,"If main has parameters, the type of the second parameter must be equivalent to char**.","5.1.2.2.1:1, J.2:1 item 4",Undefined Behavior,
UB-FD8,Function main must have zero or two parameters.,"5.1.2.2.1:1, J.2:1 item 4",Undefined Behavior,
UB-FD9,Function main must have zero or two parameters.,"5.1.2.2.1:1, J.2:1 item 4",Undefined Behavior,
UB-IO1,"Stream input operation followed by an output operation without an intervening call to a file positioning function.","7.21.5.3:7, J.2:1 item 151",Undefined Behavior,
UB-IO2,"Stream output operation followed by an input operation without an intervening call to fflush or a file positioning function.","7.21.5.3:7, J.2:1 item 151",Undefined Behavior,
UB-CTI1,Arrays must have integer length.,"6.6:6, J.2:1 item 55",Undefined Behavior,
UB-CTYPE1,Argument to outside range representable by unsigned char (and not EOF).,"7.4:1, J.2:1 item 114",Undefined Behavior,
UB-SETJMP1,'longjmp' invoked to restore a nonexistent environment.,"7.13.2.1:2, J.2:1 item 126",Undefined Behavior,
UB-SETJMP2,'longjmp' invoked to restore the environment of a function that has since terminated.,"7.13.2.1:2, J.2:1 item 126",Undefined Behavior,
UB-STDARG1,'va_start' used in a function with fixed args.,"6.9.1:8, J.2:1 item 87",Undefined Behavior,
UB-STDARG2,'va_start' or 'va_copy' used to reinitialize a va_list without an intervening call to va_end.,"7.16.1.4:3, J.2:1 item 142",Undefined Behavior,
UB-STDARG3,'va_arg' called on an uninitialized va_list.,"7.16.1.1:2, J.2:1 item 136",Undefined Behavior,
UB-STDARG4,'va_copy' called on an uninitialized source va_list.,"7.16.1.2:2, J.2:1 item 136",Undefined Behavior,
UB-STDARG5,'va_end' called on an uninitialized va_list.,"7.16.1.3:2, J.2:1 item 139",Undefined Behavior,
UB-STDARG6,'va_arg' called with no arguments remaining.,"7.16.1.1:2, J.2:1 item 141",Undefined Behavior,
UB-STDARG9,Function exited without calling 'va_end' after 'va_start' or 'va_copy'.,"7.16.1:1, J.2:1 item 139",Undefined Behavior,
UB-STDARG10,'va_start' called on function whose last fixed argument is declared with the register storage class.,"7.16.1.4:4, J.2:1 item 143",Undefined Behavior,
UB-STDARG11,'va_start' called on function whose last fixed argument is declared with function or array type.,"7.16.1.4:4, J.2:1 item 143",Undefined Behavior,
UB-STDARG12,'va_start' called on function whose last fixed argument is not compatible with type after default argument promotions.,"7.16.1.4:4, J.2:1 item 143",Undefined Behavior,
UB-STDIO1,"'printf': Mismatch between the type expected by the conversion specifier <conversion_specifier> and the type of the argument.","7.21.6.1:9, J.2:1 item 153",Undefined Behavior,
UB-STDIO3,"'v*printf': uninitialized va_list argument.","7.21.6.10:2, 7.21.6.12:2, 7.21.6.13:2, J.2:1 item 169",Undefined Behavior,
UB-STDIO7,"'fflush': called on an input stream or an update stream on which the most recent operation was input.","7.21.5.2:2, J.2:1 item 149",Undefined Behavior,
UB-STDIO8,"'fopen' or 'freopen': invalid open mode <mode>.","7.21.5.3:3, J.2:1 item 150",Undefined Behavior,
UB-STDIO9,"'fsetpos': called to set a position that was not returned by a previous successful call to the fgetpos function on a stream associated with the same file.","7.21.9.3:2, J.2:1 item 175",Undefined Behavior,
UB-STDIO10,"'printf': Invalid conversion specifier with '#' flag.","7.21.6.1:6, J.2:1 item 157",Undefined Behavior,
UB-STDIO11,"'printf': Invalid conversion specifier with '0' flag.","7.21.6.1:6, J.2:1 item 157",Undefined Behavior,
UB-STDIO12,"Insufficient arguments supplied for the format string.","7.21.6.1:2, J.2:1 item 153",Undefined Behavior,
UB-STDIO13,"Invalid length modifier '' for conversion specifier '' in a format string.","7.21.6.1:7, J.2:1 item 158",Undefined Behavior,
UB-STDLIB1,"Called realloc on memory not allocated by malloc, or already freed.","7.22.3.5:3, J.2:1 item 179",Undefined Behavior,
UB-STRING1,Null pointer passed to strcpy.,"7.1.4:1, J.2:1 item 109",Undefined Behavior,
UB-STDLIB2,"Called free on memory not allocated by malloc, or already freed.","7.22.3.3:2, J.2:1 item 179",Undefined Behavior,
UB-STDLIB4,Called the exit function more than once (from a call to atexit).,"7.22.4.4:2, J.2:1 item 182",Undefined Behavior,
UB-STDLIB5,Called the quick_exit function more than once (from a call to at_quick_exit).,"7.22.4.7:2, J.2:1 item 182",Undefined Behavior,
UB-SIGNAL1,"The 'signal' function is used in a multi-threaded program.","7.14.1.1:7, J.2:1 item 135",Undefined Behavior,
UB-SIGNAL2,"A signal handler for a signal generated from a call to raise or abort calls the raise function.","7.14.1.1:4, J.2:1 item 131",Undefined Behavior,
UB-SIGNAL3,"A signal handler returned when the signal corresponded to a computational exception.","7.14.1.1:3, J.2:1 item 129",Undefined Behavior,
UB-SIGNAL4,"The 'signal' function is called with an invalid signal handler argument.","7.14.1.1:2, J.2:1 item 128",Undefined Behavior,
UB-TTE1,Program requires the formation of a composite type from a variable length array type whose size is specified by an expression that is not evaluated.,"6.2.7:3, J.2:1 item 16",Undefined Behavior,
UB-THREADS1,'thrd_join' or 'pthread_join' called for an invalid or already-joined thread.,"7.26.5.6:2, POSIX 2008 sec. pthread_join",Undefined Behavior,X
UB-PTHREAD1,Initializing an already initialized mutex,POSIX 2008 sec. pthread_mutex_init,Undefined Behavior,X
UB-PTHREAD2,Destroying a locked mutex.,POSIX 2008 sec. pthread_mutex_destroy,Undefined Behavior,X
UB-PTHREAD3,Called destroy on an object that was not initialized with pthread_mutex_init.,POSIX 2008 sec. pthread_mutex_destroy,Undefined Behavior,X
UB-PTHREAD4,Attempting to lock a PTHREAD_MUTEX_DEFAULT mutex that is already locked by the current thread.,POSIX 2008 sec. pthread_mutex_lock,Undefined Behavior,X
UB-PTHREAD5,Called lock on an object that was not initialized with pthread_mutex_init.,POSIX 2008 sec. pthread_mutex_lock,Undefined Behavior,X
UB-PTHREAD6,Attempting to unlock a PTHREAD_MUTEX_DEFAULT or PTHREAD_MUTEX_NORMAL mutex which is not robust and which has not been locked by the current thread.,POSIX 2008 sec. pthread_mutex_lock,Undefined Behavior,X
UB-PTHREAD7,Called unlock on an object that was not initialized with pthread_mutex_init.,POSIX 2008 sec. pthread_mutex_unlock,Undefined Behavior,X
UB-PTHREAD8,Called trylock on an object that was not initialized with pthread_mutex_init.,POSIX 2008 sec. pthread_mutex_trylock,Undefined Behavior,X
UB-PTHREAD10,"First argument of NULL, but required to be non-NULL",POSIX 2008,Undefined Behavior,X
UB-PTHREAD12,Deleting an uncreated key.,POSIX 2008 sec. pthread_key_delete,Undefined Behavior,X
UB-PTHREAD13,Setting an uncreated key.,POSIX 2008 sec. pthread_setspecific,Undefined Behavior,X
USP-CEER6,Unspecified value returned from main function.,5.1.2.2.3:1,Unspecified Behavior,
USP-CERL7,Comparison of unspecified value.,6.5.9,Unspecified Behavior,
USP-CMR1,Trying to reinterpret integer bytes as floating bytes.,"6.2.6.1:1, J.1:1 item 9",Unspecified Behavior,
USP-CMR2,Trying to reinterpret floating bytes as integer bytes.,"6.2.6.1:1, J.1:1 item 9",Unspecified Behavior,
USP-ESS1,Switching on an unspecified controlling expression.,6.8.4.2:5,Unspecified Behavior,
USP-IO3,Reading an unspecified value.,3.19.3:1,Unspecified Behavior,
USP-STDIO2,Printing an unspecified value.,7.21.6.1:8,Unspecified Behavior,
USP-STDLIB3,Called the atexit function after normal program termination has begun.,"7.22.4.2:2, J.1:1 item 44",Unspecified Behavior,
USP-STDLIB6,Called the at_quick_exit function after normal program termination has begun.,"7.22.4.3:2, J.1:1 item 45",Unspecified Behavior,
CV-CCV9,Conversion from pointer to floating point type or from floating point type to pointer.,6.5.4:4,Constraint Violation,
CV-CCV10,Conversion to or from non-scalar type.,6.5.4:2,Constraint Violation,
CV-CDT3,Field has incomplete type or contains a flexible array member.,"6.7.2.1:3",Constraint Violation,
CV-CDT4,Field has incomplete type.,"6.7.2.1:3",Constraint Violation,
CV-CDT5,Declaration for zero-length bit-field has a declarator.,"6.7.2.1:4",Constraint Violation,
CV-CEA7,Computing pointer addition of a pointer not to a complete object type.,6.5.6:2,Constraint Violation,
CV-CEA8,Computing pointer minus integer of a pointer not to a complete object type.,6.5.6:3,Constraint Violation,
CV-CEA3,Invalid operand types to addition.,6.5.6:2,Constraint Violation,
CV-CEA4,Invalid operand types to subtraction.,6.5.6:3,Constraint Violation,
CV-CEA9,Computing pointer difference between pointers not to complete object types.,6.5.6:3,Constraint Violation,
CV-CEB1,Both bitwise shift operands must have integer type.,6.5.7:2,Constraint Violation,
CV-CEB5,Both bitwise shift operands must have integer type.,6.5.7:2,Constraint Violation,
CV-CEB9,Both bitwise AND operands must have integer type.,6.5.10:2,Constraint Violation,
CV-CEB10,Both bitwise exclusive OR operands must have integer type.,6.5.11:2,Constraint Violation,
CV-CEB11,Both bitwise inclusive OR operands must have integer type.,6.5.12:2,Constraint Violation,
CV-CEM3,Attempting to access member but it does not exist.,6.5.2.3:1,Constraint Violation,
CV-CER1,Unary '&' operator applied to non-lvalue.,6.5.3.2:1,Constraint Violation,
CV-CER2,Unary '&' operator applied to a value with register storage class.,6.5.3.2:1,Constraint Violation,
CV-CER5,Unary '&' operator applied to a bit-field.,6.5.3.2:1,Constraint Violation,
CV-CER6,Unary '*' operator applied to non-pointer.,6.5.3.2:2,Constraint Violation,
CV-CERL5,Directly comparing an integer type with a pointer type.,6.5.8:2,Constraint Violation,
CV-CERL8,Invalid operand types to ==.,6.5.9:2,Constraint Violation,
CV-CERL9,Invalid operand types to !=.,6.5.9:2,Constraint Violation,
CV-CMW2,Trying to write through a const lvalue.,6.5.16.1:1,Constraint Violation,
CV-TCANON1,"Alignas attribute specifying an alignment less strict than would otherwise be required.",6.7.5:4,Constraint Violation,
CV-TCANON3,"Function declared without a return type.",6.9.1:3,Constraint Violation,
CV-TCANON4,"Declaration with no type specifiers.",6.7.2:2,Constraint Violation,
CV-TAL1,Trying to compute alignof of a type that is incomplete or a function type.,6.5.3.4:1,Constraint Violation,
CV-TDG2,Declaration for identifier appears with multiple storage class specifiers.,6.7.1:2,Constraint Violation,
CV-TDG4,Declaration appears with invalid storage class specifiers.,6.9:2,Constraint Violation,
CV-TDG5,Function parameter appears with storage class other than register.,6.7.6.3:2,Constraint Violation,
CV-TDG8,Declaration has initializer but incomplete type.,6.7.9:3,Constraint Violation,
CV-TDG10,Conflicting types for identifier.,6.7:4,Constraint Violation,
CV-TDG9,File-scope declaration with a variably-modified type.,6.7.6.2:2,Constraint Violation,
CV-TDG13,Redefinition of symbol:,6.9:3,Constraint Violation,
CV-TDL1,Extern declaration follows one with no linkage,6.7:3,Constraint Violation,
CV-TDL2,Extern declaration appears at block scope with an initializer.,6.7.9:5,Constraint Violation,
CV-TDL3,Extern declaration with incompatible type,6.7:4,Constraint Violation,
CV-TDL4,Redeclaration with no linkage,6.7:3,Constraint Violation,
CV-CDI4,Attempting to initialize nonexistent member.,6.7.9:2,Constraint Violation,
CV-CDI5,Unexpected compound initializer (possibly attempting to directly initialize an anonymous member).,6.7.9:2,Constraint Violation,
CV-TDG15,"Redefinition of struct, union, or enum",6.7.2.3:1,Constraint Violation,
CV-TDG18,Declaration for appears with invalid storage class specifiers.,6.7.1:3,Constraint Violation,
CV-CDE1,Enum initializer not an integer constant expression.,6.7.2.2:2,Constraint Violation,
CV-CDE2,Enum initializer outside the range representable by int.,6.7.2.2:2,Constraint Violation,
CV-TEAS1,Incompatible types in assignment.,6.5.16.1:1,Constraint Violation,
CV-TEAS2,Incompatible pointer types in assignment.,6.5.16.1:1,Constraint Violation,
CV-TEAS3,'lvalue' required as left operand in assignment.,6.5.16:2,Constraint Violation,
CV-TEAS6,Trying to write through a const lvalue.,6.5.16.1:1,Constraint Violation,
CV-TSE1,Incompatible types in initializer or function call arguments.,6.5.16.1:1,Constraint Violation,
CV-TSE2,Incompatible pointer types in initializer or function call arguments.,6.5.16.1:1,Constraint Violation,
CV-TSE3,Non-constant static initializer.,6.7.9:4,Constraint Violation,
CV-TEG1,Generic selection with a controlling expression compatible with multiple types in the association list.,6.5.1.1:2,Constraint Violation,
CV-TEG2,Generic selection with a controlling expression not compatible with any type in the association list (with no default).,6.5.1.1:2,Constraint Violation,
CV-TEG3,Generic selection with multiple defaults.,6.5.1.1:2,Constraint Violation,
CV-TTE2,"If both of a conditional expression's branches have pointer type, they must be compatible, or one must be a pointer to an object and the other must be a pointer to void.",6.5.15:3,Constraint Violation,
CV-TTE3,"If one of a conditional expression's branches has pointer type and the other has integer type, the integer must be a null pointer constant.",6.5.15:3,Constraint Violation,
CV-TTE4,"If one of a conditional expression's branches has void type, the other must also have void type.",6.5.15:3,Constraint Violation,
CV-TTE5,"If one of a conditional expression's branches has struct or union type, the other must have the same type.",6.5.15:3,Constraint Violation,
CV-EFC1,Function call with incomplete or invalid return type.,6.5.2.2:2,Constraint Violation,
CV-TES1,Trying to compute sizeof of an expression with incomplete or a function type.,6.5.3.4:1,Constraint Violation,
CV-TES2,Trying to compute sizeof of an incomplete or function type.,6.5.3.4:1,Constraint Violation,
CV-FD1,Duplicate parameters in function definition.,6.7:3,Constraint Violation,
CV-FD2,Invalid return type in function definition.,6.7.6.3:1,Constraint Violation,
CV-FD3,Incomplete parameter type in function definition.,6.7.6.3:4,Constraint Violation,
CV-SSA1,Non-constant expression in static assertion.,6.7.10:2,Constraint Violation,
CV-SSA2,Static assertion failed: ,6.7.10:2,Constraint Violation,
CV-CTI2,Arrays must have positive length.,6.7.6.2:1,Constraint Violation,
CV-CTI3,The width of a bit field shall be an integer constant expression.,6.7.2.1:4,Constraint Violation,
CV-CTI5,Structs containing a flexible array member must not be array elements.,6.7.2.1:2,Constraint Violation,
IMPL-CCV2,Conversion to signed integer outside the range that can be represented.,"6.3.1.3:3, J.3.5:1 item 4",Implementation Defined Behavior,
IMPL-CCV13,Conversion from an integer to non-null pointer.,"6.3.2.3:5",Implementation Defined Behavior,
IMPL-CCV13-H,Conversion from an integer to non-null hardware-dependent pointer.,"6.3.2.3:5",Implementation Defined Behavior,
IMPL-CCVE4,Casting a pointer to an integer.,"6.3.2.3:6",Implementation Defined Behavior,
IMPL-CEB8,The left operand in a bitwise right-shift is negative.,"6.5.7:5, J.3.5:1 item 5",Implementation Defined Behavior,
IMPL-CEMX4,Modulus operator with a pointer value as an argument.,"6.3.2.3:6, J.3.7:1 item 1",Implementation Defined Behavior,
IMPL-CTI4,"Bit-field with type other than signed int, unsigned int, or _Bool.","6.7.2.1:5, J.3.9:1 item 2",Implementation Defined Behavior,
IMPL-EIO5,Trying to modify an object with thread or auto storage duration in a thread other than the one in which the object is associated.,"6.2.4:4, 6.2.4:5, J.3.13:1 item 2",Implementation Defined Behavior,
IMPL-EIO6,Attempting to access an object with thread or auto storage duration in a thread other than the one in which the object is associated.,"6.2.4:4, 6.2.4:5, J.3.13:1 item 2",Implementation Defined Behavior,
IMPL-STDLIB8,Called aligned_alloc with size parameter not an integral multiple of the requested alignment.,"7.22.3.1:2 J.2:1 item 178",Implementation Defined Behavior,
IMPLUB-CEB12,Potential negative zero produced via bitwise operations (this could be a false positive).,"6.2.6.2:4, J.2:1 item 14",Implementation-dependent undefined Behavior,
IMPLUB-CEMX5,Division by an implementation-defined or unspecified value.,"6.5.5:5, J.2:1 item 45",Implementation-dependent undefined Behavior,
IMPLUB-CEMX6,Modulus by an implementation-defined or unspecified value.,"6.5.5:5, J.2:1 item 45",Implementation-dependent undefined Behavior,
UB-PTHREAD99,Unimplemented pthread function.,POSIX 2008,Implementation Defined Behavior,
L-PTHREAD9,Terminating a thread while holding lock on mutexes.,,Possible unintended behavior,X
L-RESTRICT1,Use of the restrict qualifier (a possible source of undefined behavior).,,Possible unintended behavior,X
L-STDLIBE1,Called free() on a null pointer.,,Possible unintended behavior,X
L-STDLIBE2,"Malloc overflows memory bound, returning null pointer.",,Possible unintended behavior,X
L-STDLIBE3,"Realloc overflows memory bound, returning null pointer.",,Possible unintended behavior,X
L-UNISTD1,"Called sleep while holding lock on mutexes.",,Possible unintended behavior,X
L-CEE6,"Dereferencing a pointer to FILE or directly using a FILE object.",,Possible unintended behavior,X
L-CEIE1,Memory malloced but never freed.,,Possible unintended behavior,X
L-CEIE2,File opened but never closed.,,Possible unintended behavior,X
L-CER7,Dereferencing a native pointer.,,Possible unintended behavior,X
L-CCVE1,Unsigned integer overflow.,,Possible unintended behavior,X
L-CCVE2,Conversion to unsigned integer outside the range that can be represented.,,Possible unintended behavior,X
L-CCVE3,Casting away qualifiers.,,Possible unintended behavior,X
L-CMRE1,Reading a struct or union with uninitialized parts.,,Possible unintended behavior,X
L-EFNCE1,"Stack might overflow specified bound on some compilers or ABIs.",,Possible unintended behavior,X
L-EFNC3,"Recursive call to the function .",,Possible unintended behavior,X
L-EIOE1,"Read a byte from a statically-allocated or thread-storage-allocated object that was initialized implicitly to 0.",,Possible unintended behavior,X
L-EXC3,Comparing a function pointer to a null pointer constant.,,Possible unintended behavior,X
L-TFD1,The function contains inline assembly or other language features unsupported by this tool. Using the natively-compiled implementation of this function during execution.,,Possible unintended behavior,X
SE-CID1,"Trying to look up identifier , but no such identifier is in scope.",6.5.1:2,Syntax error,
SE-TCANON2,"Unsupported reserved identifier  (reserved variant of restrict).",,Syntax error,X
